ds,y
2024-07-01,4.420497737306996
2024-07-02,4.492937412550439
2024-07-03,4.446406758506003
2024-07-04,4.578497099220591
2024-07-05,4.57883958361237
2024-07-08,4.634776139458577
2024-07-09,4.568070017224856
2024-07-10,4.461018485770426
2024-07-11,4.4761486484154975
2024-07-12,4.470980339930233
2024-07-15,4.454556923623805
2024-07-16,4.456108270418414
2024-07-17,4.44251385597178
2024-07-18,4.444966356074042
2024-07-19,4.451495023085164
2024-07-22,4.457468036473483
2024-07-23,4.456008454711097
2024-07-24,4.453455002554158
2024-07-25,4.418772753692575
2024-07-26,4.558080536818029
2024-07-29,4.674145662260392
2024-07-30,4.554732489462816
2024-07-31,4.720245448281619
2024-08-01,4.707066075357511
2024-08-02,4.692187539275427
2024-08-05,4.582245216730013
2024-08-06,4.6173423931409365
2024-08-07,4.642190289450037
2024-08-08,4.624348517678252
2024-08-09,4.734487574598413
2024-08-12,4.726227426429928
2024-08-13,4.732931130977238
2024-08-14,4.741629722853103
2024-08-15,4.884662040549245
2024-08-16,4.956987513142196
2024-08-19,4.9844905420168155
2024-08-20,5.120062776441597
2024-08-21,5.139001500536353
2024-08-22,5.004816756454792
2024-08-23,5.135513302894606
2024-08-26,5.218800050051131
2024-08-27,5.1294595358647905
2024-08-28,5.0826623045017065
2024-08-29,5.039102546212875
2024-08-30,5.093385820045887
2024-09-02,5.154443715464651
2024-09-03,5.144287110416904
2024-09-04,5.033167965114344
2024-09-05,5.106496231220472
2024-09-06,5.101743275249714
2024-09-09,5.0454411853405965
2024-09-10,5.044293478027588
2024-09-11,5.029688732549765
2024-09-12,5.045616769748997
2024-09-13,5.039471422019947
2024-09-16,5.037494825115922
2024-09-17,5.069864036575439
2024-09-18,5.2027545162419
2024-09-19,5.224046013329788
2024-09-20,5.2234536401000735
2024-09-23,5.246943412960234
2024-09-24,5.251876283031404
2024-09-25,5.200322276931974
2024-09-26,5.20776509894579
2024-09-27,5.14409677531504
2024-09-30,5.062411242837738
2024-10-01,5.150728700969461
2024-10-02,5.069969997841095
2024-10-03,5.141829242961044
2024-10-04,5.112536189629482
2024-10-07,5.118790087037221
2024-10-08,5.161721769006442
2024-10-09,5.100160449899457
2024-10-10,5.098669380988805
2024-10-11,5.152975423618219
2024-10-14,4.985731336123143
2024-10-15,4.96387804921053
2024-10-16,4.949770936226221
2024-10-17,5.011828908106787
2024-10-18,4.921690160161868
2024-10-21,5.068746254795345
2024-10-22,5.237308388267361
2024-10-23,5.200280674520169
2024-10-24,5.244810439431429
2024-10-25,5.246593978165238
2024-10-28,5.151700735183876
2024-10-29,5.155040634607852
2024-10-30,5.166831820477898
2024-10-31,5.160489297011016
2024-11-01,5.169271140731455
2024-11-04,5.07191216825216
2024-11-05,5.1749019908194445
2024-11-06,5.119905592927139
2024-11-07,5.032793008068266
2024-11-08,5.019778453696604
2024-11-11,4.920424956270619
2024-11-12,4.9243786291779825
2024-11-13,5.013177772747555
2024-11-14,4.9792361712216655
2024-11-15,4.967225824199447
2024-11-18,4.944688647507999
2024-11-19,4.943024545393346
2024-11-20,5.011657506489113
2024-11-21,4.899758900860458
2024-11-22,4.925239978323012
2024-11-25,5.134620828240856
2024-11-26,5.149549834096269
2024-11-27,5.1486441079414025
2024-11-28,5.138178298436216
2024-11-29,5.082447820678097
2024-12-02,5.058520250916662
2024-12-03,5.086351113957452
2024-12-04,5.191496507360514
2024-12-05,5.138529761851742
2024-12-06,5.101886636249961
2024-12-09,5.161120463447082
2024-12-10,5.156875124402028
2024-12-11,5.223702804781237
2024-12-12,5.12750814778652
2024-12-13,5.131400890634319
2024-12-16,5.11313234610444
2024-12-17,5.078332704790276
2024-12-18,5.050332587350729
2024-12-19,4.947452016930729
2024-12-20,4.932622036913228
2024-12-23,4.939152214628126
2024-12-24,4.950486724853869
2024-12-25,4.95475538867844
2024-12-26,4.952195432643188
2024-12-27,4.925115863839408
2024-12-30,4.901563324261717
2024-12-31,4.912133653188426
2025-01-01,4.920345246031982
2025-01-02,4.951704694392294
2025-01-03,4.933343732307959
2025-01-06,4.933264306113251
2025-01-07,4.8674378995450684
2025-01-08,4.866538480130146
2025-01-09,4.864734788650433
2025-01-10,4.899508529577664
2025-01-13,4.823371187121091
2025-01-14,4.823717999977218
2025-01-15,4.859462329489644
2025-01-16,4.887275545194239
2025-01-17,4.926154680314439
2025-01-20,4.9306138821078624
2025-01-21,4.944934899134259
2025-01-22,4.911784412901324
2025-01-23,4.919631355730777
2025-01-24,4.915875667556473
2025-01-27,4.915211086092938
2025-01-28,4.914143126761914
2025-01-29,4.91580733735959
2025-01-30,4.836966170910125
2025-01-31,4.8436293237368515
